"id","name","categoryId","alcoholic","glassId","instructions","thumb","ingredients","measures","createdAt","updatedAt"
1,Campari Beer,1,true,11,Use a 15 oz glass. Add Campari first. Fill with beer.,https://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,"{""ingredient1"":""Lager"",""ingredient2"":""Campari""}","{""measure1"":""1 bottle "",""measure2"":""1 1/2 cl ""}",2022-05-01 16:17:18.115,2022-05-01 16:17:18.115
2,Irish Russian,1,true,4,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,https://www.thecocktaildb.com/images/media/drink/swqurw1454512730.jpg,"{""ingredient1"":""Vodka"",""ingredient2"":""Kahlua"",""ingredient3"":""Coca-Cola"",""ingredient4"":""Guinness stout""}","{""measure1"":""1 shot "",""measure2"":""1 shot "",""measure3"":""1 dash "",""measure4"":""Fill with ""}",2022-05-01 16:17:18.149,2022-05-01 16:17:18.150
3,Green Goblin,1,true,1,"Cider First, Lager then Curacao",https://www.thecocktaildb.com/images/media/drink/qxprxr1454511520.jpg,"{""ingredient1"":""Cider"",""ingredient2"":""Lager"",""ingredient3"":""Blue Curacao""}","{""measure1"":""1/2 pint hard "",""measure2"":""1/2 pint "",""measure3"":""1 shot ""}",2022-05-01 16:17:18.163,2022-05-01 16:17:18.164
4,Diesel,1,true,1,Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.,https://www.thecocktaildb.com/images/media/drink/sxrrqq1454512852.jpg,"{""ingredient1"":""Lager"",""ingredient2"":""Cider"",""ingredient3"":""Blackcurrant cordial""}","{""measure1"":""1/2 pint "",""measure2"":""1/2 pint "",""measure3"":""1 dash ""}",2022-05-01 16:17:18.148,2022-05-01 16:17:18.149
5,Caribbean Boilermaker,1,true,3,Pour the Corona into an 18oz beer glass pour the rum into the beer.,https://www.thecocktaildb.com/images/media/drink/svsxsv1454511666.jpg,"{""ingredient1"":""Corona"",""ingredient2"":""Light rum""}","{""measure1"":""1 bottle "",""measure2"":""1 shot ""}",2022-05-01 16:17:18.147,2022-05-01 16:17:18.148
6,Limona Corona,1,true,5,"Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink.",https://www.thecocktaildb.com/images/media/drink/wwqrsw1441248662.jpg,"{""ingredient1"":""Corona"",""ingredient2"":""Bacardi Limon""}","{""measure1"":""1 bottle "",""measure2"":""1 oz ""}",2022-05-01 16:17:18.179,2022-05-01 16:17:18.180
7,Lunch Box,1,true,1,Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.,https://www.thecocktaildb.com/images/media/drink/qywpvt1454512546.jpg,"{""ingredient1"":""Beer"",""ingredient2"":""Amaretto"",""ingredient3"":""Orange juice""}","{""measure1"":""3/4 bottle "",""measure2"":""1 shot "",""measure3"":""1 oz ""}",2022-05-01 16:17:18.178,2022-05-01 16:17:18.179
8,Snake Bite (UK),1,true,1,Pour ingredients into a pint glass. Drink. Fall over.,https://www.thecocktaildb.com/images/media/drink/xuwpyu1441248734.jpg,"{""ingredient1"":""Lager"",""ingredient2"":""Cider""}","{""measure1"":""1/2 pint "",""measure2"":""1/2 pint sweet or dry ""}",2022-05-01 16:17:18.179,2022-05-01 16:17:18.179
9,Winter Rita,1,true,4,"Salt rim. Combine all ingredients, shake with ice, and strain over fresh ice.⠀",https://www.thecocktaildb.com/images/media/drink/fwpd0v1614006733.jpg,"{""ingredient1"":""Tequila"",""ingredient2"":""Campari"",""ingredient3"":""Lime Juice"",""ingredient4"":""Orange Juice"",""ingredient5"":""Rosemary Syrup"",""ingredient6"":""Salt""}","{""measure1"":""1 2/3 oz"",""measure2"":""1/4 oz"",""measure3"":""3/4 oz"",""measure4"":""1/2 oz"",""measure5"":""1/2 oz"",""measure6"":""Dash""}",2022-05-01 16:17:18.196,2022-05-01 16:17:18.196
10,"747 Drink",3,true,4,"Fill a Collins glass with ice.
Pour in vodka, lime cordial, and cranberry juice.
Fill up with Sprite.
Garnish with a Lime wheel or some cranberries",https://www.thecocktaildb.com/images/media/drink/i9suxb1582474926.jpg,"{""ingredient1"":""Vodka"",""ingredient2"":""Roses sweetened lime juice"",""ingredient3"":""Cranberry Juice"",""ingredient4"":""Sprite""}","{""measure1"":""1 oz"",""measure2"":""1 oz"",""measure3"":""1 oz"",""measure4"":""Top""}",2022-05-01 16:17:18.195,2022-05-01 16:17:18.195
11,Snakebite and Black,1,true,1,Put blackcurrant squash in first up to about 1cm in glass. Then add the larger and cider one after another.,https://www.thecocktaildb.com/images/media/drink/rssvwv1441248863.jpg,"{""ingredient1"":""Lager"",""ingredient2"":""Cider"",""ingredient3"":""Blackcurrant squash""}","{""measure1"":""1/2 pint "",""measure2"":""1/2 pint "",""measure3"":""A little bit of ""}",2022-05-01 16:17:18.195,2022-05-01 16:17:18.196
12,"155 Belmont",3,true,8,Blend with ice. Serve in a wine glass. Garnish with carrot.,https://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,"{""ingredient1"":""Dark rum"",""ingredient2"":""Light rum"",""ingredient3"":""Vodka"",""ingredient4"":""Orange juice""}","{""measure1"":""1 shot "",""measure2"":""2 shots "",""measure3"":""1 shot "",""measure4"":""1 shot ""}",2022-05-01 16:17:18.194,2022-05-01 16:17:18.195
13,"57 Chevy with a White License Plate",3,true,4,"1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir",https://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,"{""ingredient1"":""Creme de Cacao"",""ingredient2"":""Vodka""}","{""measure1"":""1 oz white "",""measure2"":""1 oz ""}",2022-05-01 16:17:18.219,2022-05-01 16:17:18.220
14,"9 1/2 Weeks",3,true,7,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,https://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,"{""ingredient1"":""Absolut Citron"",""ingredient2"":""Orange Curacao"",""ingredient3"":""Strawberry liqueur"",""ingredient4"":""Orange juice""}","{""measure1"":""2 oz "",""measure2"":""1/2 oz "",""measure3"":""1 splash "",""measure4"":""1 oz ""}",2022-05-01 16:17:18.214,2022-05-01 16:17:18.215
15,A1,3,true,7,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,"{""ingredient1"":""Gin"",""ingredient2"":""Grand Marnier"",""ingredient3"":""Lemon Juice"",""ingredient4"":""Grenadine""}","{""measure1"":""1 3/4 shot "",""measure2"":""1 Shot "",""measure3"":""1/4 Shot"",""measure4"":""1/8 Shot""}",2022-05-01 16:17:18.214,2022-05-01 16:17:18.214
16,A True Amaretto Sour,3,true,10,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",https://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg,"{""ingredient1"":""Amaretto"",""ingredient2"":""Lemon"",""ingredient3"":""Ice"",""ingredient4"":""Maraschino cherry""}","{""measure1"":""1 jigger "",""measure2"":""Juice of 1/2 ""}",2022-05-01 16:17:18.231,2022-05-01 16:17:18.232
17,A Gilligan's Island,3,true,2,"Shaken, not stirred!",https://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,"{""ingredient1"":""Vodka"",""ingredient2"":""Peach schnapps"",""ingredient3"":""Orange juice"",""ingredient4"":""Cranberry juice""}","{""measure1"":""1 oz "",""measure2"":""1 oz "",""measure3"":""3 oz "",""measure4"":""3 oz ""}",2022-05-01 16:17:18.261,2022-05-01 16:17:18.261
18,Abbey Martini,3,true,7,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",https://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg,"{""ingredient1"":""Gin"",""ingredient2"":""Sweet Vermouth"",""ingredient3"":""Orange Juice"",""ingredient4"":""Angostura Bitters""}","{""measure1"":""2 shots "",""measure2"":""1 shot "",""measure3"":""1 shot "",""measure4"":""3 dashes ""}",2022-05-01 16:17:18.218,2022-05-01 16:17:18.219
19,Afterglow,3,false,4,Mix. Serve over ice.,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,"{""ingredient1"":""Grenadine"",""ingredient2"":""Orange juice"",""ingredient3"":""Pineapple juice""}","{""measure1"":""1 part "",""measure2"":""4 parts "",""measure3"":""4 parts ""}",2022-05-01 16:17:18.267,2022-05-01 16:17:18.267
